,交易市场,股票名称,股票代码,当前价,涨跌额,涨跌幅%,年初至今,成交量,成交额(元),换手率,市盈率,股息率%,市值(元)
1452,CN,青农商行,SZ002958,2.57,0.01,0.39,-11.07,15151375.0,38858832.35,0.31,5.567,3.891,14277931886.0
1453,CN,科瑞技术,SZ002957,17.88,0.26,1.48,19.72,12307477.0,218068852.71,3.0,26.608,1.337,7360558936.0
1454,CN,西麦食品,SZ002956,14.46,0.56,4.03,-1.04,3905820.0,55690622.2,1.76,27.616,1.86,3228595094.0
1455,CN,鸿合科技,SZ002955,30.78,1.27,4.3,38.1,4780200.0,145326830.2,2.56,23.153,4.159,7228749485.0
1456,CN,日丰股份,SZ002953,12.14,0.17,1.42,-14.53,2433959.0,29361959.65,1.21,41.203,0.494,4266638947.0
1457,CN,亚世光电,SZ002952,32.04,2.91,9.99,119.08,19429682.0,602503340.36,14.71,94.179,1.248,5265453600.0
1458,CN,ST金时,SZ002951,8.26,0.0,0.0,-7.71,495800.0,4077866.0,0.13,,0.605,3345300000.0
1459,CN,奥美医疗,SZ002950,9.29,0.03,0.32,-23.72,1694050.0,15669044.0,0.37,16.327,0.646,5883035631.0
1460,CN,华阳国际,SZ002949,13.5,0.15,1.12,4.87,1522200.0,20414644.0,1.02,24.752,2.222,2646534519.0
1461,CN,青岛银行,SZ002948,3.01,0.02,0.67,-5.79,17019256.0,50879051.22,0.55,5.039,5.316,17519267719.0
1462,CN,恒铭达,SZ002947,30.7,1.57,5.39,57.65,5856050.0,176825117.1,3.63,29.915,0.977,7066273186.0
1463,CN,新乳业,SZ002946,11.15,0.22,2.01,-15.27,3924000.0,43287834.0,0.46,22.338,0.762,9653806654.0
1464,CN,华林证券,SZ002945,15.02,0.8,5.63,14.39,94248087.0,1418736242.28,3.49,189.048,0.346,40554000000.0
1465,CN,宇晶股份,SZ002943,26.02,-0.1,-0.38,-39.63,1146027.0,29702704.16,1.24,37.624,,4082423512.0
1466,CN,新农股份,SZ002942,19.5,0.24,1.25,22.06,11614239.0,232162948.73,8.31,791.795,1.282,3042000000.0
1467,CN,新疆交建,SZ002941,12.81,0.14,1.1,4.97,5930600.0,75585377.0,0.93,23.986,0.781,8263481615.0
1468,CN,昂利康,SZ002940,20.51,0.14,0.69,11.08,833688.0,17049950.81,0.45,32.119,1.009,4137445095.0
1469,CN,长城证券,SZ002939,7.88,0.07,0.9,-3.66,16182347.0,126911526.36,0.46,20.583,1.269,31791284413.0
1470,CN,鹏鼎控股,SZ002938,20.67,-0.25,-1.2,-22.53,6349327.0,131350882.72,0.28,13.355,3.387,47963449657.0
1471,CN,兴瑞科技,SZ002937,26.11,0.24,0.93,16.24,2569399.0,66790000.36,0.88,29.316,0.766,7774779922.0
1472,CN,郑州银行,SZ002936,1.98,0.0,0.0,-7.32,20609155.0,40804028.65,0.31,10.174,,18002340889.0
1473,CN,天奥电子,SZ002935,17.71,0.06,0.34,-10.86,1708818.0,30155434.68,0.5,69.045,0.649,6330381978.0
1474,CN,新兴装备,SZ002933,36.58,-3.33,-8.34,16.83,16629840.0,621702297.6,14.71,,,4292663000.0
1475,CN,明德生物,SZ002932,22.67,0.12,0.53,-36.23,1124547.0,25308017.79,0.72,10.229,15.399,5271250095.0
1476,CN,锋龙股份,SZ002931,15.57,-1.73,-10.0,55.54,16129390.0,255403619.01,8.66,264.612,0.623,3188108218.0
1477,CN,宏川智慧,SZ002930,19.18,-0.14,-0.72,1.31,797500.0,15327782.0,0.18,31.194,1.554,8755184708.0
1478,CN,润建股份,SZ002929,40.84,2.03,5.23,4.67,11564233.0,466393318.6,5.65,24.487,0.517,11284890871.0
1479,CN,华夏航空,SZ002928,7.16,-0.1,-1.38,-48.23,13852812.0,99656222.14,1.13,,,9152209498.0
1480,CN,泰永长征,SZ002927,14.93,0.07,0.47,48.89,7341130.0,108957658.7,3.33,46.099,0.804,3332326432.0
1481,CN,华西证券,SZ002926,7.57,0.08,1.07,0.87,10110800.0,76500840.0,0.39,45.579,0.396,19871250000.0
1482,CN,盈趣科技,SZ002925,18.88,0.78,4.31,18.81,5980456.0,111346961.62,0.81,30.038,4.248,14735796859.0
1483,CN,润都股份,SZ002923,12.31,0.04,0.33,0.27,1546444.0,18971523.24,0.6,34.524,2.031,4122536351.0
1484,CN,伊戈尔,SZ002922,13.91,0.18,1.31,-7.09,3544169.0,49015729.44,1.26,25.469,1.387,5443256902.0
1485,CN,联诚精密,SZ002921,15.59,0.03,0.19,21.94,1917730.0,29889481.0,1.73,340.729,2.258,2040245746.0
1486,CN,德赛西威,SZ002920,123.85,0.56,0.45,18.24,2937938.0,365613532.49,0.53,47.348,0.444,68739648090.0
1487,CN,名臣健康,SZ002919,24.99,-0.1,-0.4,-8.9,3874268.0,97600112.28,1.76,26.491,,5552029674.0
1488,CN,蒙娜丽莎,SZ002918,13.04,0.04,0.31,-26.79,2766695.0,35964271.1,1.26,16.862,1.15,5413937798.0
1489,CN,金奥博,SZ002917,9.26,0.1,1.09,-23.52,4097649.0,37674182.39,1.56,54.375,0.648,3218907464.0
1490,CN,深南电路,SZ002916,69.19,0.54,0.79,-2.86,1031807.0,71139420.89,0.2,25.984,1.445,35485996647.0
1491,CN,中欣氟材,SZ002915,15.97,0.15,0.95,-19.93,48554645.0,756588894.61,16.87,212.636,1.252,5237482473.0
1492,CN,奥士康,SZ002913,29.45,0.36,1.24,23.5,2550888.0,74856012.12,0.96,28.097,2.299,9346266843.0
1493,CN,中新赛克,SZ002912,26.68,0.5,1.91,-15.68,2312640.0,61372347.0,1.43,86.105,,4555663360.0
1494,CN,佛燃能源,SZ002911,11.39,0.05,0.44,-1.49,1707470.0,19376674.4,0.18,16.221,3.854,11155466232.0
1495,CN,庄园牧场,SZ002910,10.85,0.28,2.65,-27.98,2360650.0,25285312.97,1.38,161.131,0.571,2121601915.0
1496,CN,集泰股份,SZ002909,7.28,0.02,0.28,-17.1,3574452.0,26018588.92,0.99,134.647,0.687,2713637851.0
1497,CN,德生科技,SZ002908,13.65,-0.08,-0.58,22.29,22379322.0,302885193.23,7.24,57.581,0.527,5889048001.0
1498,CN,华森制药,SZ002907,15.04,0.06,0.4,-25.79,1410405.0,21043073.9,0.46,89.304,0.465,6280648563.0
1499,CN,华阳集团,SZ002906,34.26,0.0,0.0,4.05,4198256.0,142735886.96,0.88,43.711,0.663,17959612444.0
1500,CN,金逸影视,SZ002905,10.1,-0.02,-0.2,-0.79,4656660.0,47028207.06,1.33,,,3800832000.0
1501,CN,宇环数控,SZ002903,25.2,0.24,0.96,26.82,33883271.0,858655716.19,34.03,96.89,0.583,3928050000.0
1502,CN,铭普光磁,SZ002902,22.06,0.33,1.52,75.69,5579973.0,122850312.65,3.72,,0.15,4666131200.0
1503,CN,大博医疗,SZ002901,37.03,0.82,2.26,8.82,1094307.0,39988339.62,0.31,,1.361,15331142307.0
